394201096;'Foxrock Village';'With Ronan - Left knee gave a few niggles and was quite sore after I stopped...';'Tue, 22 Oct 2013 12:39';1382441942000;'Tue, 22 Oct 2013 13:22';1382444535000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';98.75;532697413209826;-619931291788816;532673575077206;-61979207675904;5258806212911760;161;148;28239015260431900;4990429639953980;2589551;2581.0;52725930389971300;817993;75;98.75;53.34;53.44
392961429;'Portrush - Portstewart - Coleraine (LSR)';'Comfortable - wasn't able to see/hear pace so running on perceived level. Left knee a little niggly at times. (Esp now I've stopped!!!)';'Sun, 20 Oct 2013 11:41';1382265692000;'Sun, 20 Oct 2013 13:28';1382272087000;'Garmin Fit (iPhone) 1.6.0.0';'Running';'Uncategorized';'(GMT) Western European Time';45.14;551953361369669;-663948277942836;551955100614578;-663911439478397;4994221275362650;0;0;40779709083046100;1484957112376550;6401523;6385.0;5002000774550300;2130806;0;45.14;147.07;149.0
391967086;'Outer Ring (10km)';'';'Fri, 18 Oct 2013 8:23';1382081032000;'Fri, 18 Oct 2013 9:15';1382084156000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';74.76;533505781553686;-64310291223228;533506563585252;-643097355030477;4939204755157440;175;165;3470776032442130;6360351501902130;3128994;3019.0;4950004798583860;101872;71;74.76;25.69;26.04
391570610;'Fonthill - Adamstown';'';'Thu, 17 Oct 2013 7:32';1381991555000;'Thu, 17 Oct 2013 8:31';1381995099000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';65.78;533506411034614;-643100615590811;5335064814426;-643094563856721;5063547522022240;176;159;33772374589490800;7090658278480770;3548713;3360.0;5072022702053510;1105944;76;65.78;26.97;26.32
390892207;'Lucan - Liffey Valley';'';'Tue, 15 Oct 2013 12:25';1381836341000;'Tue, 15 Oct 2013 13:23';1381839818000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';66.59;53350415546447;-64312138594687;533506221603602;-643091973848641;5083391473215730;172;159;3897723708478680;7109751266103740;3483109;3410.0;510152031558145;111802;69;66.59;53.53;54.45
390369791;'Outer Ring (10km)';'';'Mon, 14 Oct 2013 12:40';1381750831000;'Mon, 14 Oct 2013 13:29';1381753750000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';74.57;53350759036839;-643102426081896;533506512455642;-643088453449309;4679086926632570;174;163;3459968231313570;6338871890826290;2923119;2874.0;469615850950209;1023704;60;74.57;25.13;25.51
389315288;'Donadea 10Km Forest Race';'';'Sat, 12 Oct 2013 11:02';1381572161000;'Sat, 12 Oct 2013 11:48';1381574898000;'Garmin Forerunner 610 2.80.0.0';'Running';'Race';'(GMT) Western European Time';102.12;533295100741088;-675496780313551;533397651650012;-675015290267766;4581501231002060;181;176;23999999995199900;66801590445869;2742441;2722.0;4545454545454540;10.0;116;102.12;69.0;69.0
388940576;'Foxrock - Ballyogan';'';'Thu, 10 Oct 2013 12:15';1381403725000;'Thu, 10 Oct 2013 13:03';1381406634000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';115.05;53267715247348;-619847145862877;532673571724445;-619793158024549;48814600432755100;176;166;37194079145959500;6119302533162130;2912.63;2781.0;4917871633765040;949511;78;115.05;60.24;60.85
388940561;'Ballyogan - Foxrock';'';'Wed, 9 Oct 2013 12:34';1381318455000;'Wed, 9 Oct 2013 13:24';1381321469000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';121.0;532668897137046;-619797265157104;532671611197293;-619791297242045;5256658491015570;160;147;29071458648771100;5520260046491420;3019124;3007.0;5267593706010800;953394;66;121.0;299.0;225.0
387631573;'Griffeen Loop (Recovery)';'With Sinead and new trail runners';'Tue, 8 Oct 2013 17:35';1381250149000;'Tue, 8 Oct 2013 18:09';1381252175000;'Garmin Forerunner 610 2.80.0.0';'Running';'Uncategorized';'(GMT) Western European Time';56.98;533505247626454;-643099894747138;533506367448717;-64309358317405;58513151091170500;192;136;38571317482314500;26801781375745200;2026747;1942.0;5889281666425150;553152;54;56.98;13.01;14.03
